Title,Price,Room_type,num_of_beds,Cancel_policy,Reviewrs,Review_stars
Manhattan Lux Loft.Like.Love.Lots.Look !,"Price
$166 CAD per night",PRIVATE ROOM , 2 BEDS, · Free cancellation,503,Rating 5 out of 5
Private Studio Apartment in Harlem,"Price
$92 CAD per night",ENTIRE HOUSE , 1 BED, · Free cancellation,248,Rating 4.5 out of 5
Soho loft with massive couch for extra sleepers!,"Price
$106 CAD per night",PRIVATE ROOM , 1 BED, · Free cancellation,121,Rating 4.5 out of 5
Beautiful Private Home -minutes from NYC!,"Price
$65 CAD per night",ENTIRE HOUSE , 4 BEDS, · Free cancellation,195,Rating 5 out of 5
Sun-drenched 1BD in Upper East Side,"Price
$100 CAD per night",PRIVATE ROOM , 1 BED, · Free cancellation,248,Rating 4.5 out of 5
Studio Apartment Minutes Away from Times Square,"Price
$53 CAD per night",ENTIRE APARTMENT , 1 BED, · Free cancellation,101,Rating 5 out of 5
Spacious Manhattan Apartment near Central Park,"Price
$122 CAD per night",ENTIRE APARTMENT , 1 BED, · Free cancellation,268,Rating 4.5 out of 5
Penthouse Studio East 50s Terrace,"Price
$179 CAD per night",ENTIRE APARTMENT , 1 BED, · Free cancellation,290,Rating 4.5 out of 5
Luxury Central Park Apartment close to everything,"Price
$171 CAD per night",ENTIRE APARTMENT , 4 BEDS, · Free cancellation,114,Rating 4.5 out of 5
Williamsburg Penthouse Guestroom,"Price
$76 CAD per night",PRIVATE ROOM , 1 BED, · Free cancellation,319,Rating 4.5 out of 5
Times Square Cute Private Studio,"Price
$133 CAD per night",ENTIRE APARTMENT , 1 BED, · Free cancellation,258,Rating 4.5 out of 5
MASTER SUITE IN THE CENTRAL PARK,"Price
$137 CAD per night",PRIVATE ROOM , 1 BED, · Free cancellation,110,Rating 4.5 out of 5
CHEAP BIG room in Williamsburg,"Price
$86 CAD per night",PRIVATE ROOM , 1 BED, · Free cancellation,215,Rating 5 out of 5
Times Square Luxury Place,"Price
$129 CAD per night",ENTIRE APARTMENT , 0 BEDS, · Free cancellation,259,Rating 4.5 out of 5
Private Bedroom in Manhattan,"Price
$65 CAD per night",PRIVATE ROOM , 1 BED, · Free cancellation,570,Rating 4.5 out of 5
"""The Country"" & the NYC Waterfront!","Price
$232 CAD per night",ENTIRE GUEST SUITE , 2 BEDS, · Free cancellation,385,Rating 4.5 out of 5
Loved by NYLocals Private Room SoHo,"Price
$76 CAD per night",PRIVATE ROOM , 1 BED, · Free cancellation,194,Rating 4.5 out of 5
Brooklyn Room Available [furnished],"Price
$53 CAD per night",PRIVATE ROOM , 1 BED, · Free cancellation,39,Rating 4.5 out of 5
Brownstone studio near central park,"Price
$105 CAD per night",ENTIRE APARTMENT , 1 BED, · Free cancellation,106,Rating 4.5 out of 5
"Sunny, Modern room in East Village!","Price
$42 CAD per night",PRIVATE ROOM , 1 BED, · Free cancellation,303,Rating 5 out of 5
COZI AND GLAM IN MANHATTAN,"Price
$86 CAD per night",PRIVATE ROOM , 2 BEDS, · Free cancellation,153,Rating 4.5 out of 5
Soho 2 Bedroom Private Terrace,"Price
$427 CAD per night",ENTIRE CONDOMINIUM , 3 BEDS, · Free cancellation,34,Rating 5 out of 5
Midtown Manhattan Hideaway,"Price
$119 CAD per night",ENTIRE APARTMENT , 1 BED, · Free cancellation,177,Rating 4.5 out of 5
Lovely Loft space near Central Park & Times Square,"Price
$65 CAD per night",PRIVATE ROOM , 1 BED, · Free cancellation,317,Rating 4.5 out of 5
Tropical Getaway @ The Funky Loft with Breakfast,"Price
$73 CAD per night",PRIVATE ROOM , 1 BED, · Free cancellation,140,Rating 5 out of 5
GORGEOUS 1 BDR PRIME HELL'S KITCHEN,"Price
$131 CAD per night",ENTIRE APARTMENT , 2 BEDS, · Free cancellation,245,Rating 4.5 out of 5
Homey Room in Bed-Stuy Brooklyn,"Price
$52 CAD per night",PRIVATE ROOM , 1 BED, · Free cancellation,196,Rating 5 out of 5
Bright Room With A Great River View,"Price
$80 CAD per night",PRIVATE ROOM , 1 BED, · Free cancellation,358,Rating 5 out of 5
Home Away from Home-Room in Midtown,"Price
$77 CAD per night",PRIVATE ROOM , 1 BED, · Free cancellation,152,Rating 4.5 out of 5
"Spacious, Peaceful Room","Price
$42 CAD per night",PRIVATE ROOM , 3 BEDS, · Free cancellation,166,Rating 5 out of 5
"Clean Room, Central Location in Manhattan","Price
$33 CAD per night",PRIVATE ROOM , 1 BED, · Free cancellation,331,Rating 5 out of 5
A Room with a View @ The Funky Loft w Breakfast,"Price
$86 CAD per night",PRIVATE ROOM , 1 BED, · Free cancellation,144,Rating 5 out of 5
"Private! entire studio, own entrance, private bath","Price
$80 CAD per night",ENTIRE APARTMENT , 1 BED, · Free cancellation,183,Rating 5 out of 5
Williamsburg Penthouse Hideaway,"Price
$52 CAD per night",PRIVATE ROOM , 1 BED, · Free cancellation,338,Rating 4.5 out of 5
Cozy Entire Floor of Brownstone,"Price
$100 CAD per night",ENTIRE GUEST SUITE , 3 BEDS, · Free cancellation,233,Rating 4.5 out of 5
Room For 4 Only Two Subway Stops From NYC,"Price
$57 CAD per night",PRIVATE ROOM , 2 BEDS, · Free cancellation,220,Rating 4.5 out of 5
"AMAZINGLY LOCATED ONE BEDROOM, NEAR CENTRAL PARK","Price
$265 CAD per night",ENTIRE APARTMENT , 1 BED, · Free cancellation,5,Rating 5 out of 5
YOUR DREAM SUITE IN MANHATTAN,"Price
$84 CAD per night",PRIVATE ROOM , 2 BEDS, · Free cancellation,118,Rating 4 out of 5
"ENTIRE Floor,PRIVATE Bath&Entrance! SUPERHOST :))","Price
$85 CAD per night",PRIVATE ROOM , 2 BEDS, · Free cancellation,237,Rating 5 out of 5
Newly renovated historic brownstone,"Price
$54 CAD per night",PRIVATE ROOM , 1 BED, · Free cancellation,253,Rating 5 out of 5
Brownstone Studio,"Price
$146 CAD per night",ENTIRE APARTMENT , 1 BED, · Free cancellation,90,Rating 5 out of 5
"On Broadway, clean & comfy room","Price
$66 CAD per night",PRIVATE ROOM , 1 BED, · Free cancellation,101,Rating 5 out of 5
Huge Room in Upper East Side - Prime Location,"Price
$54 CAD per night",PRIVATE ROOM , 1 BED, · Free cancellation,71,Rating 4 out of 5
Times Square Unique Studio,"Price
$146 CAD per night",ENTIRE APARTMENT , 1 BED, · Free cancellation,238,Rating 4.5 out of 5
GREAT AND STYLISH APARTMENT! AMAZING LOCATION!,"Price
$80 CAD per night",ENTIRE APARTMENT , 2 BEDS, · Free cancellation,83,Rating 4.5 out of 5
PRIVATE and SUNNY Williamsburg Apt!,"Price
$118 CAD per night",ENTIRE APARTMENT , 3 BEDS, · Free cancellation,360,Rating 4.5 out of 5
A Unique studio apartment,"Price
$119 CAD per night",ENTIRE APARTMENT , 3 BEDS, · Free cancellation,180,Rating 5 out of 5
