Date,Has_Weekend,Title,Price,Super_host,Latitude,Longitude,EntireHomeVsRoom,Bedrooms_no,Beds_no,Bathrooms_num,Sleeping_engagment,Amenities,Accuracy_stars,Communication_stars,Cleanliness_stars,Location_stars,CheckIn_stars,Value_stars,Reviewers_no,Review
2019-03-01 00:00:00,True,Wonderful Getaway in Bedstuy,$42,,40.68627,-73.93131,PRIVATE ROOM IN APARTMENT,1 bedroom,1 bed,,"Bedroom 1
1 queen bed","['Wifi', 'Washer', 'Dryer', 'Iron', 'Laptop friendly workspace', 'Essentials', 'Heating', 'Air conditioning', 'Single level home', 'Free street parking', 'Kitchen', 'Coffee maker', 'Cooking basics', 'Dishes and silverware', 'Microwave', 'Refrigerator', 'Oven', 'Stove', 'Hangers', 'Hair dryer', 'Shampoo', 'Fire extinguisher', 'Carbon monoxide detector', 'Smoke detector']",Rating 4.5 out of 5,Rating 4.5 out of 5,Rating 4.5 out of 5,Rating 4.5 out of 5,Rating 4.5 out of 5,Rating 4.5 out of 5,,"35 Reviews
Accuracy
Communication
Cleanliness
Location
Check-in
Value
Scout
October 2017
Staying here was overall quite nice! The apartment is beautiful, the kitchen is fully stocked with wares. There is AC in the room, a double bed, and a little desk. This was good for doing work on the trip. The internet only cut out on one of the days I was working. The…Read more
Juliana
August 2016
I didn't meet Fola unfortunately as she was away for the weekend. She had prepared the apartment so I could check myself in but due to a misunderstanding in the instructions I got locked out and couldn't get into the apartment. I couldn't reach her by phone because her phone had…Read more
Nicole
November 2015
Fola! You da best! I had a great time. Thanks!!! <3
Seye
March 2015
I booked really last minute yet Fola was super responsive and had me confirmed within minutes. She even stayed up late to receive me. The apartment was really clean as was the room. It's really private. The room is at the front of the apartment away from all the other rooms so…Read more
Sofia
October 2014
Steven and Folasade were very welcoming and helpful. They have a great bottom floor in a brownstone in a quiet neighbourhood. It has character, is clean and close to transport. I stayed almost a week and they were flexible also interesting to talk to! I recommend.
Phil
May 2018
A great, comfy, stylish place. I had the bedroom at the front of the building and it was bright and airy. The apartment is a 10 minute walk from Utica St station on the A&C (Blue) subway line, which gets you to JFK in one direction and Manhatten, via Fort Greene and DUMBO in the…Read more
Thomas
April 2018
Despite Seun and Fola being absent for the duration of my trip I felt very welcomed by their replacement Lena. If Seun and Fola are half as nice and talkative as her you will undoubtedly be in good hands.
1
2
3
…
5"
2019-03-01 00:00:00,True,Prime Coziness In Vibrant Village!,$130,,40.72872,-73.99798,ENTIRE APARTMENT,1 bedroom,2 beds,1 bath,"Bedroom 1
1 queen bed","['Wifi', 'Iron', 'Laptop friendly workspace', 'TV', 'Essentials', 'Heating', 'Air conditioning', 'Hot water', 'Crib', 'Free street parking', 'Kitchen', 'Coffee maker', 'Cooking basics', 'Dishes and silverware', 'Refrigerator', 'Oven', 'Stove', 'Lockbox', 'Long term stays allowed', 'Hangers', 'Hair dryer', 'Shampoo', 'Bed linens', 'Extra pillows and blankets', 'Carbon monoxide detector', 'Smoke detector']",Rating 4.5 out of 5,Rating 4.5 out of 5,Rating 4.5 out of 5,Rating 5 out of 5,Rating 4.5 out of 5,Rating 4 out of 5,,"89 Reviews
Accuracy
Communication
Cleanliness
Location
Check-in
Value
Danielle
December 2018
This place was in a perfect neighbourhood. Close to subway stations and lots of bars and restaurants. For being so close to the action, it was nice and quiet at night. I would recommend Tellas place to anyone coming to NYC and will definitely be back.
Carol
July 2018
This is a cozy but very comfortable apartment in a super fun location. I’d stay again. However there were problems with communicating check and other details. But the host was available and responsive.
Josh
March 2018
I didn't end up staying at the apartment because of a storm that cancelled my flight. However Tella was very accommodating and helpful to do all that she could to help with the cancellation. I hope to be able to stay there in the future!
Bradley
August 2017
Excellent location! Great set up to stay. Very clean. Shower worked on and off though.
Mathieu
February 2019
The flat is very well located and Tella has been a very helpful host, but I was very surprised by the heat inside the flat (some warm water pipes running throughout probably?) which was impossible to compensate even with the A/C on full blast. The flat was also very noisy because…Read more
Lesley
January 2019
The location is unbeatable. Perfect for a weekend stay.
Jacob
January 2019
Perfect spot downtown to stay, host responded with any questions- everything was great.
1
2
3
…
13"
2019-03-01 00:00:00,True,NYC Midtown in 11 Minutes!,$82,,40.76585,-74.03005,ENTIRE APARTMENT,1 bedroom,1 bed,,"Common spaces
1 double bed, 1 air mattress",[],Rating 4.5 out of 5,Rating 4.5 out of 5,Rating 4 out of 5,Rating 4.5 out of 5,Rating 4.5 out of 5,Rating 4.5 out of 5,,"73 Reviews
Accuracy
Communication
Cleanliness
Location
Check-in
Value
Marina
July 2018
Not very clean. Sheets were sort of dirty and the kitchen floors had crumbs around the corners. Bathroom seemed clean. AC unit is SO loud but the room is too hot to not have it on. You can hear every time someone leaves the complex from the main door throughout the night. Hosts…Read more
Andrew
June 2018
Our stay at Augusto’s was great! The place is exactly as described. The window unit A/C was a life saver. The place is conveniently located to catch any number of buses into manhattan. If you do drive there, the best place we found for parking was 505 @ port imperial. It’s…Read more
Zaki
April 2018
Great place! Super responsive host, very accommodating
Qiqi
February 2018
Augusto is a great host! His place got everything I needed.
Sherrisse
July 2017
Very cute place that was very close and convenient to get to times square. The surrounding area is very Spanish influenced, so I would recommend knowing at least basic Spanish before staying here. The bus stops very frequently to get to times square which is nice.
Giovanni
January 2019
Good location and with an easy way to go for NY near from the apartment. Also is so quiet an cozy!
Nuno
December 2018
We've got mixed feelings about the location of this apartment, on the one hand there's a private service of buses running every now and then (I would say there's a bus heading to Manhattan at the bus stop ""all the time"") and the trip is very quick, only roughly 15 mins. On the…Read more
Response from A:
I'm very disappointed to read this. But after being a host for four years I'm not surprised. This person was desperately looking for things to complain about. They even uninstalled my showerhead and complained about that! The claim of the bed being too small is ridiculous, it is a standard full-sized double bed. It's just sad to see how some people go through so much trouble to scam the system in order to get a cheaper stay, it's even sadder that it was done during the holidays. But either way, we will continue to provide our apartments and good service to people who want an affordable alternative to hotels in NYC.
December 2018
1
2
3
…
11"
2019-03-01 00:00:00,True,Shared male room - 6 MINS DRIVE FROM MANHATTAN,$24,,40.73255,-74.0411,SHARED ROOM IN HOUSE,1 bedroom,2 beds,1 shared bath,"Bedroom 1
2 single beds","['Wifi', 'Essentials', 'Heating', 'Air conditioning', 'Hot water', 'Free parking on premises', 'Free street parking', 'Kitchen', 'Coffee maker', 'Dishes and silverware', 'Microwave', 'Refrigerator', 'Oven', 'Host greets you', 'Luggage dropoff allowed', 'Long term stays allowed', 'Hangers', 'Hair dryer', 'Bed linens', 'Carbon monoxide detector', 'Smoke detector']",Rating 4.5 out of 5,Rating 5 out of 5,Rating 4 out of 5,Rating 4.5 out of 5,Rating 5 out of 5,Rating 4.5 out of 5,,"29 Reviews
Accuracy
Communication
Cleanliness
Location
Check-in
Value
Anuj
May 2018
Small room with all you may need - bed, table, chair, cupboard, iron, towel. Great conversation. Respectful, courteous and helpful. Floors could be cleaner but given full time students as hosts, this is much better than expected.
Scott
March 2018
The host canceled this reservation 4 days before arrival. This is an automated posting.
Amit
January 2019
As expected , great guy and goes out to the way to make sure if u need anything
SeHyeon
December 2018
Nice price and nice locate!
Thomas
December 2018
Great place. Exactly what I needed. Close to PATH train. Very clean.
Ronald
December 2018
A good place to stay for the price, if you need to lay for a few days.Especially on a last minute note.But for extended purpose it might be a bit tough due to tight quarters and lack of common areas.
Tadeáš
November 2018
The accommodation was perfectly fine. Location excellent.
1
2
3
…
5"
2019-03-01 00:00:00,True,"Sun filled room- Manhattan, steps to Express train",$50,Joshua is a Superhost,40.80249,-73.93463,PRIVATE ROOM IN APARTMENT,1 bedroom,1 bed,1 shared bath,"Bedroom 1
1 single bed","['Wifi', 'Laptop friendly workspace', 'Essentials', 'Heating', 'Hot water', 'Paid parking off premises', 'Free street parking', 'Kitchen', 'Breakfast', 'Coffee maker', 'Cooking basics', 'Dishes and silverware', 'Microwave', 'Refrigerator', 'Oven', 'Stove', 'Lockbox', 'Luggage dropoff allowed', 'Long term stays allowed', 'Hangers', 'Shampoo', 'Bed linens', 'Extra pillows and blankets', 'Lock on bedroom door', 'Fire extinguisher', 'Carbon monoxide detector', 'Smoke detector', 'First aid kit']",Rating 5 out of 5,Rating 5 out of 5,Rating 4.5 out of 5,Rating 4.5 out of 5,Rating 5 out of 5,Rating 4.5 out of 5,,"15 Reviews
Accuracy
Communication
Cleanliness
Location
Check-in
Value
Bamba
December 2018
Im very satisfied . I was in a very nice confort and Joshua is very Friendly
Donald
February 2019
Great place to stay on a budget. I never met my host, but he was sweet via text. great communication. really cared about my stay. would recommend...and will probably stay again
Oumar
February 2019
Joshua was a great host. He was very responsive and replied within minutes. He is very down to earth. The place had everything we needed for our stay. He even provided us with extras. There is a easy access to the express train. I will definitely be guest at Joshua's place again.
Gregory
February 2019
I booked this room at the very last minute cuz I had no other choice. And honestly, I wouldn’t have picked a better place. Joshua is a really awesome guy and a great host, very welcoming and respectful. His roommate looks like he’s a cool guy as well, we didn’t really talk a lot…Read more
Celeste
January 2019
it was a good stay but could of had curtains
Charlotte
January 2019
I didn't meet Joshua in person, but he responded very soon so everything worked fine and I had a nice talk with his roommate :) It's a good place to stay, but I had the feeling that the Neighborhood is not the best. However, the connection to downtown is very fast with the…Read more
Jean-François
December 2018
Joshua is a friendly host who will make you feel comfortable straight away. The check-in was extremely easy and Joshua was available if I had any questions. Also, the subway is 3 minutes away from the apartment and you can get to Central Park and Dowtown within 30-40…Read more
1
2
3"
2019-03-01 00:00:00,True,"☾ Bunk Bed 15-20m￫NYC, and 15m￫Newark",$24,Wesley is a Superhost,40.754,-74.055,SHARED ROOM IN APARTMENT,1 bedroom,1 bed,,"Bedroom 1
1 bunk bed","['Wifi', 'Washer', 'Dryer', 'Iron', 'Laptop friendly workspace', 'Essentials', 'Heating', 'Air conditioning', 'Hot water', 'Paid parking off premises', 'Free street parking', 'Kitchen', 'Coffee maker', 'Cooking basics', 'Dishes and silverware', 'Dishwasher', 'Microwave', 'Refrigerator', 'Oven', 'Stove', 'Smart lock', 'Cleaning before checkout', 'Luggage dropoff allowed', 'Long term stays allowed', 'Hangers', 'Hair dryer', 'Shampoo', 'Bed linens', 'Extra pillows and blankets', 'Patio or balcony', 'Garden or backyard', 'Fire extinguisher', 'Carbon monoxide detector', 'Smoke detector', 'First aid kit']",Rating 5 out of 5,Rating 5 out of 5,Rating 5 out of 5,Rating 4.5 out of 5,Rating 4.5 out of 5,Rating 5 out of 5,,"25 Reviews
Accuracy
Communication
Cleanliness
Location
Check-in
Value
Thy
January 2019
I really like this place and it really helps me to have a perfect trip.
Koucha
February 2019
good amenities and comfortable beds. always a great and safe place to stay
Nol
February 2019
Excellent location. very close to Manhattan. Very safe area, clean, cozy and the host is excellent at making sure everything is ok. I will always stay here when I need a place in Jersey City. one of my favorite Airbnb!
Koucha
February 2019
Wesley is a great host and the bed was super comfortable! This is an amazing place to stay. I highly recommend it
Jason
February 2019
thanks !
Steven
February 2019
amazing place, very nice place and very homey space
Shrikant
February 2019
I am repeat customer. Its great place to stay.
1
2
3
…
4"
2019-03-01 00:00:00,True,Sunny Room w/ Private Bath in Williamsburg!,$92,Philip is a Superhost,40.71553,-73.96332,PRIVATE ROOM IN APARTMENT,1 bedroom,1 bed,"Staying at Philips place was great! We stayed here for 7 nights and the place was perfect for a longer stay, comfortable, spacious room with a private bathroom. Everything is clean and the hosts are really friendy. Would defenitly recommend!!","Bedroom 1
1 queen bed","['Wifi', 'Washer', 'Dryer', 'Iron', 'Laptop friendly workspace', 'TV', 'Essentials', 'Heating', 'Air conditioning', 'Free parking on premises', 'Kitchen', 'Private entrance', 'Long term stays allowed', 'Hangers', 'Hair dryer', 'Bed linens', 'Lock on bedroom door', 'Smoke detector']",Rating 5 out of 5,Rating 5 out of 5,Rating 4.5 out of 5,Rating 5 out of 5,Rating 5 out of 5,Rating 5 out of 5,,"57 Reviews
Accuracy
Communication
Cleanliness
Location
Check-in
Value
Matthew
November 2018
Philip and Juan were great hosts and the apartment was perfect. From the moment I walked in the door I felt right at home. Philip gave me great advice on how to get around and tips on the best local spots. The location was ideal for my business meetings in Manhattan (it took me…Read more
Pascal
April 2018
Philip is a very good host and the place is perfect. Close to everything and very cosy.
Tomas
December 2017
Great location in amazing Williamsburg. Everything as described, Philip is a great guy. I enjoyed my stay very much and would recommend to anyone. To hot spots in Manhattan about 30 minutes. You will be pleasantly surprised.
Cecilia
February 2019
The apartment and the location are perfect. We didn't get to meet Philip during our stay, but he was very kind and solved all our questions before our arrival and during the time we were in the apartment.
Alessandro
January 2019
Philip's place is perfectly located in vibrant Williamsburg, close to anything you might need and 3 subway stops away from the heart of Manhattan. Philip and Juan are great hosts who would answer any question and give you useful tips on what to see/do/eat in the neighbourhood –…Read more
Lara
January 2019
Staying at Philips place was great! We stayed here for 7 nights and the place was perfect for a longer stay, comfortable, spacious room with a private bathroom. Everything is clean and the hosts are really friendy. Would defenitly recommend!!
Andrei
January 2019
Great apartment, perfect location, great value. Highly recommended!
1
2
3
…
9"
2019-03-01 00:00:00,True,"Sunny, Cozy, Private Room In The Heart of Bushwick",$49,Dylana is a Superhost,40.69906,-73.92431,PRIVATE ROOM IN APARTMENT,1 bedroom,1 bed,1 shared bath,"Bedroom 1
1 double bed","['Wifi', 'Laptop friendly workspace', 'Essentials', 'Heating', 'Air conditioning', 'Hot water', 'Free street parking', 'Kitchen', 'Coffee maker', 'Cooking basics', 'Dishes and silverware', 'Refrigerator', 'Oven', 'Stove', 'Lockbox', 'Hangers', 'Hair dryer', 'Shampoo', 'Bed linens', 'Lock on bedroom door', 'Fire extinguisher', 'Carbon monoxide detector', 'Smoke detector', 'First aid kit']",Rating 5 out of 5,Rating 5 out of 5,Rating 5 out of 5,Rating 4.5 out of 5,Rating 5 out of 5,Rating 5 out of 5,,"81 Reviews
Accuracy
Communication
Cleanliness
Location
Check-in
Value
Jeremy
November 2018
Great spot, bright and clean. Loved the location and vibrancy of the street. White noise machine made it easy to sleep without being disturbed. Super close to subway and some great restaurants. Recommend!
Jeanne
October 2017
Very clean, very convenient, perhaps a bit noisy, but I don't really mind the noise, so it was not a big deal too me.
Jasica
July 2017
The host canceled this reservation 6 days before arrival. This is an automated posting.
Andrew
December 2016
Loved staying here. Would stay again next time. Great location and price!!!
Matt
February 2019
I would definitely recommend this room to anyone looking for a clean, affordable room in a great location. Dylana is a fantastic and gracious host. I was impressed with her responsiveness and her proactively checking with me to make sure everything was going well while I was…Read more
Kristina
February 2019
Pretty and stylish apartment with a nice and clean room.
Beverly
January 2019
My stay in the Sunny Room at Dylana's was just perfect! Comfortable & warm bed, a closet w/ various hangers & a small corner shelf for your personal grab & go needs. The shared living room, kitchen & bathroom had all the necessities for dining in, relaxing & personal basic…Read more
1
2
3
…
12"
2019-03-01 00:00:00,True,Private Room: Rockaway Beach House-Near JFK&Subway,$18,,40.58937,-73.81327,PRIVATE ROOM IN HOUSE,,1 bed,,,"['Wifi', 'Laptop friendly workspace', 'Essentials', 'Heating', 'Air conditioning', 'Kitchen', 'Hangers', 'Hair dryer', 'Shampoo', 'Lock on bedroom door', 'Fire extinguisher', 'Carbon monoxide detector', 'Smoke detector', 'First aid kit']",Rating 4.5 out of 5,Rating 5 out of 5,Rating 4 out of 5,Rating 4.5 out of 5,Rating 5 out of 5,Rating 4.5 out of 5,,"11 Reviews
Accuracy
Communication
Cleanliness
Location
Check-in
Value
Saad
January 2019
It’s a wonderful place to stay; it was clean, nice and cozy. It has other people too but the privacy is highly maintained. Would definitely come back.
Jaya
January 2019
Literally just 30 seconds away from train S to connect to Train A. 5 minutes walk to the beach.
Merlyn
December 2018
It’s a comfy place to sleep in and very close to the station and the beach. Paul give very long detailed uncomplicated instructions to get into the house. The place is really hot because they have the heat on at all time. Bathroom is not the greatest but it’s useable. Found a…Read more
Aleksander
November 2018
It was good. Thank you Paul. But WI-FI was very slow. And I saw a rat at night in my room. But I think it is usual for New York.
Alex
November 2018
It was good :)
Marco
October 2018
Good place to take the subway and go anywhere
Corey
September 2018
Great place to stay, rooms were all very private
1
2"
2019-03-01 00:00:00,True,Luxury Studio Apartment,$178,,40.70566,-74.00677,ENTIRE APARTMENT,,1 bed,1 bath,,"['Indoor fireplace', 'Wifi', 'Washer', 'Dryer', 'Laptop friendly workspace', 'TV', 'Essentials', 'Heating', 'Air conditioning', 'Hot water', 'Elevator', 'Gym', 'Paid parking off premises', 'Single level home', 'Free street parking', 'Kitchen', 'Coffee maker', 'Cooking basics', 'Dishes and silverware', 'Dishwasher', 'Microwave', 'Refrigerator', 'Oven', 'Stove', 'Building staff', 'Hangers', 'Hair dryer', 'Bed linens', 'Extra pillows and blankets', 'BBQ grill', 'Patio or balcony', 'Fire extinguisher', 'Carbon monoxide detector', 'Smoke detector']",Rating 4.5 out of 5,Rating 4.5 out of 5,Rating 4.5 out of 5,Rating 5 out of 5,Rating 4.5 out of 5,Rating 4.5 out of 5,,"17 Reviews
Accuracy
Communication
Cleanliness
Location
Check-in
Value
Bowen
February 2019
Perfect location, large and fancy interior.
Meghan
December 2018
Beautiful studio in a convenient location. Great space especially if traveling for work and want someplace quiet. The studio was clean and very well taken care of.
Charlon
November 2018
Great location. Easily the most stylish cool air BnB I’ve ever stayed in. Great host very responsive.
Renato
April 2016
The time we spent in NY was amazing. Juliana was very helpful and the studio reached our expectativas. It is very well located near to metro and in the heart of financial district. I definitely recommend.
Wolfgang
April 2016
The host canceled this reservation 20 days before arrival. This is an automated posting.
James
March 2016
Great
Krystian
March 2016
Had a great experience. The apartment was exactly as advertised and Juliana was very accommodating and easy to reach.
1
2
3"
